alphabet,mode,payload,sig_len,signatures,alpha,seed,planted,found,report_sig,report_score,report_pos,mismatches
lower26,literal,512,16,10000,0.60,21,1,1,1356,10,9,0
lower26,literal,512,16,10000,0.60,21,0,0,,,,0
lower26,literal,512,16,10000,0.60,22,1,1,1356,10,9,0
lower26,literal,512,16,10000,0.60,22,0,0,,,,0
lower26,literal,512,16,10000,0.60,23,1,1,1356,10,9,0
lower26,literal,512,16,10000,0.60,23,0,0,,,,0
lower26,literal,512,16,10000,0.60,24,1,1,1356,10,9,0
lower26,literal,512,16,10000,0.60,24,0,0,,,,0
lower26,literal,512,16,10000,0.60,25,1,1,1356,10,9,0
lower26,literal,512,16,10000,0.60,25,0,0,,,,0
lower26,literal,512,16,10000,0.60,26,1,1,1356,10,9,0
lower26,literal,512,16,10000,0.60,26,0,0,,,,0
lower26,literal,512,16,10000,0.60,27,1,1,1356,10,9,0
lower26,literal,512,16,10000,0.60,27,0,0,,,,0
lower26,literal,512,16,10000,0.60,28,1,1,1356,10,9,0
lower26,literal,512,16,10000,0.60,28,0,0,,,,0
lower26,literal,512,16,10000,0.60,29,1,1,1356,10,9,0
lower26,literal,512,16,10000,0.60,29,0,0,,,,0
lower26,literal,512,16,10000,0.60,30,1,1,1356,10,9,0
lower26,literal,512,16,10000,0.60,30,0,0,,,,0
lower26,literal,512,16,10000,0.60,31,1,1,1356,10,9,0
lower26,literal,512,16,10000,0.60,31,0,0,,,,0
lower26,literal,512,16,10000,0.60,32,1,1,1356,10,9,0
lower26,literal,512,16,10000,0.60,32,0,0,,,,0
lower26,literal,512,16,10000,0.60,33,1,1,1356,10,9,0
lower26,literal,512,16,10000,0.60,33,0,0,,,,0
lower26,literal,512,16,10000,0.60,34,1,1,1356,10,9,0
lower26,literal,512,16,10000,0.60,34,0,0,,,,0
lower26,literal,512,16,10000,0.60,35,1,1,1356,10,9,0
lower26,literal,512,16,10000,0.60,35,0,0,,,,0
lower26,literal,512,16,10000,0.60,36,1,1,1356,10,9,0
lower26,literal,512,16,10000,0.60,36,0,0,,,,0
lower26,literal,512,16,10000,0.60,37,1,1,1356,10,9,0
lower26,literal,512,16,10000,0.60,37,0,0,,,,0
lower26,literal,512,16,10000,0.60,38,1,1,1356,10,9,0
lower26,literal,512,16,10000,0.60,38,0,0,,,,0
lower26,literal,512,16,10000,0.60,39,1,1,1356,10,9,0
lower26,literal,512,16,10000,0.60,39,0,0,,,,0
lower26,literal,512,16,10000,0.60,40,1,1,1356,10,9,0
lower26,literal,512,16,10000,0.60,40,0,0,,,,0
lower26,literal,512,16,10000,0.60,41,1,1,1356,10,9,0
lower26,literal,512,16,10000,0.60,41,0,0,,,,0
lower26,literal,512,16,10000,0.60,42,1,1,1356,10,9,0
lower26,literal,512,16,10000,0.60,42,0,0,,,,0
lower26,literal,512,16,10000,0.60,43,1,1,1356,10,9,0
lower26,literal,512,16,10000,0.60,43,0,0,,,,0
lower26,literal,512,16,10000,0.60,44,1,1,1356,10,9,0
lower26,literal,512,16,10000,0.60,44,0,0,,,,0
lower26,literal,512,16,10000,0.60,45,1,1,1356,10,9,0
lower26,literal,512,16,10000,0.60,45,0,0,,,,0
lower26,literal,512,16,10000,0.60,46,1,1,1356,10,9,0
lower26,literal,512,16,10000,0.60,46,0,0,,,,0
lower26,literal,512,16,10000,0.60,47,1,1,1356,10,9,0
lower26,literal,512,16,10000,0.60,47,0,0,,,,0
lower26,literal,512,16,10000,0.60,48,1,1,1356,10,9,0
lower26,literal,512,16,10000,0.60,48,0,0,,,,0
lower26,literal,512,16,10000,0.60,49,1,1,1356,10,9,0
lower26,literal,512,16,10000,0.60,49,0,0,,,,0
lower26,literal,512,16,10000,0.60,50,1,1,1356,10,9,0
lower26,literal,512,16,10000,0.60,50,0,0,,,,0
lower26,literal,512,16,10000,0.60,51,1,1,1356,10,9,0
lower26,literal,512,16,10000,0.60,51,0,0,,,,0
lower26,literal,512,16,10000,0.60,52,1,1,1356,10,9,0
lower26,literal,512,16,10000,0.60,52,0,0,,,,0
lower26,literal,512,16,10000,0.60,53,1,1,1356,10,9,0
lower26,literal,512,16,10000,0.60,53,0,0,,,,0
lower26,literal,512,16,10000,0.60,54,1,1,1356,10,9,0
lower26,literal,512,16,10000,0.60,54,0,0,,,,0
lower26,literal,512,16,10000,0.60,55,1,1,1356,10,9,0
lower26,literal,512,16,10000,0.60,55,0,0,,,,0
lower26,literal,512,16,10000,0.60,56,1,1,1356,10,9,0
lower26,literal,512,16,10000,0.60,56,0,0,,,,0
lower26,literal,512,16,10000,0.60,57,1,1,1356,10,9,0
lower26,literal,512,16,10000,0.60,57,0,0,,,,0
lower26,literal,512,16,10000,0.60,58,1,1,1356,10,9,0
lower26,literal,512,16,10000,0.60,58,0,0,,,,0
lower26,literal,512,16,10000,0.60,59,1,1,1356,10,9,0
lower26,literal,512,16,10000,0.60,59,0,0,,,,0
lower26,literal,512,16,10000,0.60,60,1,1,1356,10,9,0
lower26,literal,512,16,10000,0.60,60,0,0,,,,0
lower26,literal,512,16,10000,0.60,61,1,1,1356,10,9,0
lower26,literal,512,16,10000,0.60,61,0,0,,,,0
lower26,literal,512,16,10000,0.60,62,1,1,1356,10,9,0
lower26,literal,512,16,10000,0.60,62,0,0,,,,0
lower26,literal,512,16,10000,0.60,63,1,1,1356,10,9,0
lower26,literal,512,16,10000,0.60,63,0,0,,,,0
lower26,literal,512,16,10000,0.60,64,1,1,1356,10,9,0
lower26,literal,512,16,10000,0.60,64,0,0,,,,0
lower26,literal,512,16,10000,0.60,65,1,1,1356,10,9,0
lower26,literal,512,16,10000,0.60,65,0,0,,,,0
lower26,literal,512,16,10000,0.60,66,1,1,1356,10,9,0
lower26,literal,512,16,10000,0.60,66,0,0,,,,0
lower26,literal,512,16,10000,0.60,67,1,1,1356,10,9,0
lower26,literal,512,16,10000,0.60,67,0,0,,,,0
lower26,literal,512,16,10000,0.60,68,1,1,1356,10,9,0
lower26,literal,512,16,10000,0.60,68,0,0,,,,0
lower26,literal,512,16,10000,0.60,69,1,1,1356,10,9,0
lower26,literal,512,16,10000,0.60,69,0,0,,,,0
lower26,literal,512,16,10000,0.60,70,1,1,1356,10,9,0
lower26,literal,512,16,10000,0.60,70,0,0,,,,0
lower26,literal,512,16,10000,0.60,71,1,1,1356,10,9,0
lower26,literal,512,16,10000,0.60,71,0,0,,,,0
lower26,literal,512,16,10000,0.60,72,1,1,1356,10,9,0
lower26,literal,512,16,10000,0.60,72,0,0,,,,0
lower26,literal,512,16,10000,0.60,73,1,1,1356,10,9,0
lower26,literal,512,16,10000,0.60,73,0,0,,,,0
lower26,literal,512,16,10000,0.60,74,1,1,1356,10,9,0
lower26,literal,512,16,10000,0.60,74,0,0,,,,0
lower26,literal,512,16,10000,0.60,75,1,1,1356,10,9,0
lower26,literal,512,16,10000,0.60,75,0,0,,,,0
lower26,literal,512,16,10000,0.60,76,1,1,1356,10,9,0
lower26,literal,512,16,10000,0.60,76,0,0,,,,0
lower26,literal,512,16,10000,0.60,77,1,1,1356,10,9,0
lower26,literal,512,16,10000,0.60,77,0,0,,,,0
lower26,literal,512,16,10000,0.60,78,1,1,1356,10,9,0
lower26,literal,512,16,10000,0.60,78,0,0,,,,0
lower26,literal,512,16,10000,0.60,79,1,1,1356,10,9,0
lower26,literal,512,16,10000,0.60,79,0,0,,,,0
lower26,literal,512,16,10000,0.60,80,1,1,1356,10,9,0
lower26,literal,512,16,10000,0.60,80,0,0,,,,0
lower26,literal,512,16,10000,0.60,81,1,1,1356,10,9,0
lower26,literal,512,16,10000,0.60,81,0,0,,,,0
lower26,literal,512,16,10000,0.60,82,1,1,1356,10,9,0
lower26,literal,512,16,10000,0.60,82,0,0,,,,0
lower26,literal,512,16,10000,0.60,83,1,1,1356,10,9,0
lower26,literal,512,16,10000,0.60,83,0,0,,,,0
lower26,literal,512,16,10000,0.60,84,1,1,1356,10,9,0
lower26,literal,512,16,10000,0.60,84,0,0,,,,0
lower26,literal,512,16,10000,0.60,85,1,1,1356,10,9,0
lower26,literal,512,16,10000,0.60,85,0,0,,,,0
lower26,literal,512,16,10000,0.60,86,1,1,1356,10,9,0
lower26,literal,512,16,10000,0.60,86,0,0,,,,0
lower26,literal,512,16,10000,0.60,87,1,1,1356,10,9,0
lower26,literal,512,16,10000,0.60,87,0,0,,,,0
lower26,literal,512,16,10000,0.60,88,1,1,1356,10,9,0
lower26,literal,512,16,10000,0.60,88,0,0,,,,0
lower26,literal,512,16,10000,0.60,89,1,1,1356,10,9,0
lower26,literal,512,16,10000,0.60,89,0,0,,,,0
lower26,literal,512,16,10000,0.60,90,1,1,1356,10,9,0
lower26,literal,512,16,10000,0.60,90,0,0,,,,0
lower26,literal,512,16,10000,0.60,91,1,1,1356,10,9,0
lower26,literal,512,16,10000,0.60,91,0,0,,,,0
lower26,literal,512,16,10000,0.60,92,1,1,1356,10,9,0
lower26,literal,512,16,10000,0.60,92,0,0,,,,0
lower26,literal,512,16,10000,0.60,93,1,1,1356,10,9,0
