nodes,target,gpu,layout,dpx,store,sync,block_threads,grid_blocks,trial,kernel_s,endtoend_s,energy_j,mean_power_w,power_samples,mismatches
6000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,128,2112,4,0.460618,0.468111,,,0,0
6000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,128,2112,5,0.460546,0.468079,,,0,0
12000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,128,2112,1,3.185587,3.215075,,,0,0
12000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,128,2112,2,3.185772,3.215184,,,0,0
12000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,128,2112,3,3.185668,3.215105,,,0,0
12000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,128,2112,4,3.185621,3.214982,,,0,0
12000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,128,2112,5,3.185512,3.214553,,,0,0
12000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,128,2112,1,3.168967,3.198639,,,0,0
12000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,128,2112,2,3.169190,3.198790,,,0,0
12000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,128,2112,3,3.169209,3.198852,,,0,0
12000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,128,2112,4,3.169130,3.198706,,,0,0
12000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,128,2112,5,3.169159,3.198451,,,0,0
24000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,128,2112,1,24.561346,24.677164,,,0,0
24000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,128,2112,2,24.561074,24.676857,,,0,0
24000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,128,2112,3,24.560949,24.676589,,,0,0
24000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,128,2112,4,24.561215,24.676646,,,0,0
24000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,128,2112,5,24.561082,24.676502,,,0,0
24000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,128,2112,1,24.484887,24.602092,,,0,0
24000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,128,2112,2,24.485201,24.602375,,,0,0
24000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,128,2112,3,24.485252,24.602310,,,0,0
24000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,128,2112,4,24.484973,24.601835,,,0,0
24000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,128,2112,5,24.484828,24.601681,,,0,0
1000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,256,1000,1,0.008268,0.008522,,,0,0
1000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,256,1000,2,0.008275,0.008526,,,0,0
1000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,256,1000,3,0.008301,0.008549,,,0,0
1000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,256,1000,4,0.008307,0.008557,,,0,0
1000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,256,1000,5,0.008293,0.008544,,,0,0
1000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,256,1000,1,0.008258,0.008510,,,0,0
1000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,256,1000,2,0.008263,0.008515,,,0,0
1000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,256,1000,3,0.008253,0.008506,,,0,0
1000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,256,1000,4,0.008252,0.008503,,,0,0
1000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,256,1000,5,0.008258,0.008507,,,0,0
